1;1;109.45
1;1;4.74
1;1;6.58
1;1;6.38
1;1;3.84
1;1;116.06
1;1;6.61
1;1;72.53
1;1;6.74
1;1;6.21
1;2;6.69
1;2;5.0
1;2;6.46
1;2;5.95
1;2;6.64
1;2;6.24
1;2;99.16
1;2;4.5
1;2;58.47
1;2;88.99
2;2;91.87
2;2;6.45
2;2;6.57
2;2;69.11
2;2;110.88
2;2;66.28
2;2;6.35
2;2;73.44
2;2;94.13
2;2;6.42
2;3;98.6
2;3;100.87
2;3;5.92
2;3;67.3
2;3;79.01
2;3;76.78
2;3;85.54
2;3;83.29
2;3;6.31
2;3;82.14
3;3;85.88
3;3;79.05
3;3;55.63
3;3;72.99
3;3;70.38
3;3;70.95
3;3;88.11
3;3;54.66
3;3;95.74
3;3;101.59
3;4;99.57
3;4;110.4
3;4;78.77
3;4;80.2
3;4;93.98
3;4;6.11
3;4;81.59
3;4;66.22
3;4;101.15
3;4;83.08
4;4;100.49
4;4;86.15
4;4;87.89
4;4;90.14
4;4;63.46
4;4;81.94
4;4;92.74
4;4;6.36
4;4;81.93
4;4;71.63
4;5;88.7
4;5;72.44
4;5;6.47
4;5;92.59
4;5;72.49
4;5;73.58
4;5;117.09
4;5;77.24
4;5;79.06
4;5;88.15
